메뉴 이름,방법 분류,국가 분류,테마 분류,난이도 분류,칼로리,조회수,분량,주재료 이름,부재료 이름,양념,레시피,조리시간
쭈꾸미버터구이,['구이'],한식,메인요리,매우 쉬움,169.0,49532,2,['쭈꾸미 1코'],['찹쌀가루 1/2큰술'],"['버터 20g', '간장 1/2큰술', '소금 약간', '후춧가루 약간', '설탕 약간', '미림 약간', '청주 약간']","['1. 쭈꾸미는 내장을 제거하고 소금으로 한 번 씻어준다.', '2. 손질된 쭈꾸미는 끓는 물에 소금, 청주를 약간 넣고 살짝 데친 후 찬물에 식힌다.', '3. 찹쌀가루에 쭈꾸미를 묻혀준다.', '4. 프라이팬에 버터를 두르고 ③을 윤기나게 조려준다.', '5. 쭈꾸미가 어느정도 버터에 조려지면 간장, 후춧가루, 설탕, 미림으로 간을 맞춘다.']",30
청어구이,['구이'],한식,메인요리,매우 쉬움,185.0,36997,4,['청어 1마리'],['소금 1/2작은술'],,"['1. 청어는 깨끗이 손질하여 칼집을 넣는다.', '2. ①의 앞뒤로 소금을 뿌려 30분 정도 재워 둔다.', '3. 브로일러나 프라이팬 또는 석쇠에 노릇노릇하게 구워 낸다.']",30
한식닭양념구이,['구이'],한식,메인요리,쉬움,235.0,63445,2,['닭 1마리'],"['고추장 3큰술', '간장 2큰술', '고춧가루 3큰술', '물엿 3큰술', '설탕 2큰술', '생강즙 1큰술', '다진마늘(다진것) 1/2큰술', '다진양파(다진것) 1/2큰술', '미림 1큰술', '깨소금 약간', '후춧가루(가루) 약간', '참기름 약간']",,"['1. 닭은 기름기를 제거하고 살만 발라낸다.', '2. 살만 발라낸 닭살에 양념이 잘 스며들수 있도록 얇게 포를 뜬다.', '3. 고추장3큰술, 간장2큰술, 고추가루3큰술, 물엿3큰술, 설탕2큰술, 생강즙 1큰술, 다진마늘 1/2큰술, 다진양파 1/2큰술, 미림 1큰술, 깨소금 약간, 후춧가루, 참기름을 섞어 양념장을 만든다.', '4. 위의 양념에 ①을 재워둔다.', '5. 길들여진 프라이팬에 식용유를 두르고 양념한 고기가 타지 않게 구워준다.', '6. 마지막에 대파를 송송 썰어 닭 위에 뿌려준다.']",60
호박가지된장구이,['구이'],한식,메인요리,매우 쉬움,98.0,50328,4,"['애호박 1개', '가지 1개']",['홍고추 2개'],"['식용유 3큰술', '된장 2큰술', '다진파 2큰술', '다진마늘 1/2큰술', '물엿 2큰술', '깨소금 1큰술', '참기름 1/2큰술']","['1. 애호박은 씻어 둥글게 어슷 썬다.', '2. 가지는 꼭지를 잘라내고 어슷썰고 홍고추는 씨를 빼고 다진다.', '3. 된장에 다진 홍고추, 다진 파, 다진 마늘을 넣고 깨소금, 참기름, 물엿을 넣어 버무린다.', '4. 준비한 호박, 가지 한 면에만 된장양념을 조금씩 펴 바른다.', '5. 기름 두른 팬에 양념을 바르지 않은 쪽으로 닿게 해서 뒤집지 않고 굽는다.']",30
가지튀김,"['튀김', '커틀릿']",한식,메인요리,매우 쉬움,364.0,41455,2,"['가지 1개', '돼지고기(다진것) 150g']","['밀가루 6큰술', '계란 1개', '빵가루 약간']","['소금 약간', '간장 약간', '설탕 약간', '맛술 약간', '깨소금 약간', '머스터드 1/2큰술', '마요네즈 2큰술', '설탕 1/4큰술', '후춧가루 약간', '참기름 약간']","['1. 가지는 어슷하게 썰어서 약간의 소금으로 간을 한다.', '2. 돼지고기는 곱게 다져서 간장, 설탕, 후춧가루, 맛술, 깨소금, 참기름으로 양념한다.', '3. ①의 가지에 물기가 생기면 깨끗한 거즈로 닦아낸 후 밀가루를 살짝 묻힌다.', '4. ③의 가지에 ②의 돼지고기를 얇게 바르고 다른 가지로 샌드위치처럼 겹쳐준다.', '5. ④의 가지에 밀가루, 계란, 빵가루 순으로 묻힌 후 180℃ 온도에서 튀겨낸다.', '6. 머스터드 1/2큰술 , 마요네즈 2큰술, 설탕 1/4큰술, 소금 약간으로 드레싱을 만들어 곁들인다.']",30
굴튀김,"['튀김', '커틀릿']",한식,메인요리,매우 쉬움,230.0,72081,2,['굴 10개'],"['밀가루 1큰술', '계란 1개', '빵가루 1/2컵', '식용유 2컵']","['소금 1/2작은술', '우스터소스 1큰술']","['1. 굴은 소쿠리에 담아 소금을 뿌리고 흐르는 물에 소쿠리째 흔들어 씻어 물을 털어낸 뒤 종이타월로 물기를 걷어낸다.', '2. 고운 체에 밀가루를 내려서 굴에 고루 뿌린다.', '3. 푼 계란에 굴을 굴린 뒤 빵가루를 묻히고 잘 붙도록 가볍게 눌러준다.', '4. 튀김기름은 180℃로 가열해 빵가루가 갈색이 될 때까지 바싹 튀겨낸다.']",30
단호박튀김,"['튀김', '커틀릿']",한식,메인요리,매우 쉬움,157.0,58795,2,['단호박 100g'],"['계란 1개', '밀가루 50g', '튀김가루 50g', '식용유 2컵']",,"['1. 단단한 단호박은 반으로 잘라 씨를 제거한 다음 끓는물에 한번 끓여준다.', '2. 단호박 살이 1/3 정도 익으면 건져낸다.', '3. 두께 0.5cm 정도로 썰어서 껍질을 벗겨낸다.', '4. ③에 밀가루를 뿌려둔다.', '5. 계란, 물, 밀가루, 튀김가루를 섞어서 반죽을 만든다.', '6. 170℃ 정도의 기름의 온도가 되면 단호박을 반죽에 넣어 바삭하게 튀겨낸다.']",30
대추수삼마늘튀김,"['튀김', '커틀릿']",한식,메인요리,매우 쉬움,395.0,23184,2,"['대추 20알', '수삼 1뿌리', '마늘 2알']",['튀김가루 약간'],,"['1. 대추는 물에 불린 후 돌려 깎아 씨를 발라낸다. 만약 대추가 딱딱하다면, 물에 잠시 불려 씨를 발라낸다.', '2. 마늘을 곱게 채썬다.', '3. 수삼도 깨끗이 다듬어 마늘과 같은 길이로 채썬다.', '4. 씨를 발라낸 대추 속에 마늘과 수삼을 넣어 꼭꼭 여민다.', '5. ④에 튀김가루, 물을 약간 넣고 반죽한다.', '6. ⑤의 반죽이 어느정도 묻으면 180℃ 온도에서 잠시 튀겨낸다.']",30
북어강정,"['튀김', '커틀릿']",한식,메인요리,매우 쉬움,337.0,39189,2,['북어 1마리'],"['양파 1/2개', '홍고추 1/2개', '튀김기름 적당량', '식용유 튀김용']","['고추장 2큰술', '간장 1큰술', '물엿 1큰술', '설탕 1큰술', '후춧가루 약간', '깨소금 약간', '마늘 약간', '생강 약간']","['1. 북어는 찬물에 담갔다가 건져 푹신하게 한 다음 3cm 크기로 자른다.', '2. 북어에 계란, 녹말가루1큰술, 튀김가루 1큰술을 섞어 반죽한다.', '3. 양파, 홍고추, 청고추는 입자있게 다져 썰고 마늘, 생강은 다진다.', '4. 170℃ 정도의 기름에서 반죽한 북어를 바삭하게 튀겨낸다.', '5. 기름 두른 프라이팬에 채소를 볶다가 고추장 2큰술, 간장 1큰술, 물엿 1큰술, 설탕 1큰술, 후춧가루 약간, 깨소금을 넣어 살짝 끓인다.', '6. ⑤의 양념장에 바삭하게 튀긴 북어를 타지 않게 조린다.', '7. 먹기 직전에 깨소금을 약간 뿌려준다.']",30
잡채전병튀김,"['튀김', '커틀릿']",한식,메인요리,매우 쉬움,260.0,39679,2,"['잡채 300g', '만두피 10장']",['식용유 적당량'],['겨자(갠것) 1작은술'],"['1. 잡채를 3cm 길이로 썬 다음 겨자 갠 것을 넣어 버무린다.', '2. 만두피에 ①을 조금씩 놓고 1~1.5cm 두께로 말아서 가장자리가 벌어지지 않도록 물을 바르고 꼼꼼히 싸둔다.', '3. 160℃의 식용유에 ②를 넣고 바삭하게 튀긴다.', '4. 키친타올로 잡채전병튀김의 기름을 뺀 뒤 접시에 담아 낸다.', '*사진제공: 메뉴판닷컴 패널 요리인 근땡이']",20
코다리강정,"['튀김', '커틀릿']",한식,메인요리,매우 쉬움,354.0,46170,2,['코다리 50g'],"['양파 10g', '홍고추 1/2개', '녹말 2큰술', '튀김가루 1큰술', '계란 1개', '청고추 1/2개', '고춧가루(고운 것) 약간']","['간장 1큰술', '식초 2큰술', '설탕 2큰술', '참기름 약간', '깨소금 약간']","['1. 코다리는 비늘과 지느러미를 다듬어 한 입 크기로 썰어서 녹말가루와 튀김가루, 계란으로 반죽하여 180℃ 정도의 기름에서 바삭하게 튀겨낸다.', '2. 양파, 홍고추, 청고추는 입자있게 다진다.', '3. 냄비에 식용유를 조금 넣고 고운 고춧가루를 볶다가 다진 양파와 고추를 타지 않게 볶아준다.', '4. ③에 간장 1과 1/2큰술, 식초 2큰술, 설탕 2큰술, 물 1/2컵을 넣고 녹말물로 농도를 맞춘 후 튀긴 코다리를 버무려 낸다.', '5. 마지막에 참기름, 깨소금등을 넣어 향을 낸다.']",30
가지된장찜,['찜'],한식,메인요리,매우 쉬움,230.0,50103,2,"['가지 1개', '돼지고기 50g', '다진파 약간', '다진마늘 약간']","['밀가루 1큰술', '물 1컵', '멸치 8g', '양파 1/4개', '청고추 1개', '홍고추 1개']","['소금 약간', '후춧가루 약간', '참기름 약간', '된장 1큰술', '고춧가루 1작은술']","['1. 가지는 길이 5cm 정도로 토막내어 반으로 잘라 소금물에 절여 물기를 제거한다.', '2. 물기를 제거한 가지에 밀가루를 솔솔 뿌려둔다.', '3. 냄비에 식용유를 두르고 다진 돼지고기를 볶아준다.', '4. 잘게 썬 멸치, 양파, 청고추, 홍고추, 파, 마늘을 ③과 같이 볶다가 된장, 물을 넣어준다.', '5. ④가 끓기 시작하면 ①의 가지를 넣고 뚜껑을 덮어 간이 충분히 배도록 오래 찐 후 마지막에 참기름을 넣어 향을 낸다.']",30
건포도닭찜,['찜'],한식,메인요리,쉬움,458.0,22713,2,['닭고기 1kg'],"['건포도 1큰술', '단호박 1/4통', '브로콜리 50g', '당근 50g', '청양고추 4개', '양파 30g']","['[양념장] 간장 1/2컵', '건포도페이스트 2큰술', '엄나무삶은물(생수) 2컵', '대파 1뿌리', '생강 1작은술', '마늘 1큰술', '후춧가루 약간', '참기름 1/2큰술']","['1. 엄나무는 물에 끓여 삶은 물을 준비한다.', '2. 닭은 먹기 좋은 크기로 썰어서 끓는 물에서 데쳐내며 기름기를 제거한다.', '3. 브로콜리는 한입 크기로 썰어서 끓는 물에 소금을 넣고 살짝 데쳐 찬물에 헹궈 준비한다.', '4. 뭉그러지지 않도록 단호박은 껍질을 제거하여 삼각형으로 썰어서 모서리를 공굴려준다.', '5. 당근은 1.5cm 두께로 썰어서 단호박처럼 모서리를 둥글게 도려내고 양파는 한입크기로 썬다.', '6. 청양고추는 길이로 반 갈라서 씨를 제거한 후 넣어 매운맛을 낸 후 마지막에 건져낸다.', '7. 대파도 대 부분을 통으로 넣어서 대파향을 낸 후 마지막에 건져 깔끔한 양념을 한다.', '8. 양념장은 미리 건포도페이스트를 만들어 설탕대신 단맛과 갈색을 내고 나머지 양념은 분량대로 만든다. (건포도페이스트는 건포도를 따뜻한 물에 부드럽게 불려 수분은 제거하고 곱게 갈아서 준비)', '9. 엄나무 물이나 생수에 ②의 닭을 넣고 양념장을 반 넣고 대파, 청양고추, 당근, 단호박 순으로 넣어 조리고 나머지 양념장을 모두 넣고 조린다.', '10. ⑨에서 청양고추, 대파를 건져내고 건포도, 브로콜리, 양파를 넣고 한소끔 센 불에서 뚜껑을 열고 끓여 윤기 나게 한다.']",60
계란찜,['찜'],한식,메인요리,매우 쉬움,98.0,279341,2,['계란 2개'],"['시금치 10g', '당근 1/4개', '옥수수통조림 2큰술']","['다진파 1큰술', '소금 약간', '후춧가루 약간', '설탕 1/4작은술', '물 1/2컵', '청정원맛선생 약간']","['1. 옥수수통조림은 물기를 빼둔다.', '2. 당근, 옥수수통조림은 잘게 다져놓는다.', '3. 시금치는 소금을 넣고 살짝 데쳐서 물기를 제거한 후 잘게 다져놓는다.', '4. 큰 볼에 계란, 당근, 옥수수, 다진 파를 넣고 소금, 설탕, 후춧가루, 새우젓으로 간하여 분량의 물을 넣고 거품기로 잘 풀어둔다.', '5. 깊은 냄비에 ④를 넣고 끓는 물에서 중탕하여 중불로 15분 정도 쪄낸다.']",20
꼬막양념찜,['찜'],한식,메인요리,매우 쉬움,110.0,56819,3,['꼬막 600g'],"['양파 2큰술', '청고추 1개']","['화이트와인 2큰술', '소금 약간', '청정원굴소스 1큰술', '간장 1큰술', '마늘 1작은술', '설탕 1큰술', '맛술 3큰술', '참기름 1큰술', '깨소금 1작은술', '물 5큰술']","['1. 꼬막은 껍질 째 소금으로 문질러 씻어서 물기를 뺀 다음 소금물에 담가 해감시킨다.', '2. 냄비에 꼬막을 담고 물을 넉넉하게 부어서 삶는다.', '3. 꼬막 입이 벌어지기 시작하면 화이트와인을 넣고 비릿한 맛을 없앤다.', '4. 볼에 청정원 굴소스를 비롯한 분량의 재료를 넣고 잘 섞어 양념장을 만든다.', '5. 꼬막의 살이 붙어 있는 껍데기만 접시에 담고 ④의 양념장을 뿌린다.']",25
꽈리고추찜,['찜'],한식,메인요리,매우 쉬움,103.0,34506,3,['꽈리고추 150g'],['밀가루 4큰술'],"['소금 1작은술', '참기름 1작은술', '통깨 1작은술', '간장 1큰술', '고춧가루 1작은술', '홍고추 1개', '다진파 1큰술', '마늘 1/2큰술']","['1. 꽈리고추는 씻어서 구멍 내고 소금물에 담근다.', '2. 꽈리고추에 밀가루 옷을 입힌다.', '3. 찜기통에 김이 오르기 시작하면 ②의 고추를 넣고 10분정도 쪄서 내놓는다.', '4. 홍고추를 잘게 다진다.', '5. 간장, 고춧가루, 다진 파, 다진 마늘로 양념장을 만들어 홍고추와 섞는다.', '6. ③의 꽈리고추와 양념장을 섞고 참기름과 통깨를 버무려 완성한다.']",30
머위 조기찜,['찜'],한식,메인요리,매우 쉬움,139.0,9425,4,"['조기 4마리', '머위 100g']","['풋고추 2개', '홍고추 2개', '마늘 4쪽']","['들깨가루 4큰술', '매실술 4큰술', '물 4큰술', '소금 1작은술']","['1. 조기는 비늘과 내장을 제거한 후 분량의 소금과 매실술에 재운다.', '2. 머위는 소금을 넣은 끓는 물에 데친 후 찬물에 30분 이상 담가 쓴맛을 뺀다. 줄기는 껍질을 벗기고 잎은 물기를 꼭 짠다.', '3. 풋고추와 홍고추는 가늘게 채썰고, 마늘은 편썬다.', '4. 프라이팬에 조기를 올린 후 들깨가루와 분량의 물을 잘 섞어 마늘과 함께 넣고 뚜껑을 덮어 센 불에 찐다.', '5. 조기가 익으면 ③의 풋고추와 홍고추, ②의 머위 잎과 줄기를 올리고 약한 불로 뜸을 들인 후 그릇에 보기 좋게 담아 낸다.']",30
명란찜,['찜'],한식,메인요리,매우 쉬움,310.0,32035,4,['명란젓 100g'],"['양파 1/2개', '대파 1/2뿌리', '고추 1개씩']","['고춧가루 1큰술', '마늘 1작은술', '참기름 1작은술']","['1. 양파와 대파는 성글게 채썰고 고추는 어슷 썰어놓는다.', '2. 냄비에 참기름을 넣고 다진 마늘과 채소를 볶은 뒤 물을 붓고 명란을 넣고 끓여준다.', '3. 명란이 익으면 고춧가루를 넣어 얼큰하게 상에 낸다.', '4. 취향에 따라 설탕을 넣어 먹어도 좋다.']",20
모듬나물계란찜,['찜'],한식,메인요리,매우 쉬움,250.0,30976,2,"['두부적 1개', '삼색나물 각20g', '계란 3개']",['새우젓 적당'],,"['1. 두부적과 나물은 0.5cm 정도 입자로 잘게 다져준다.', '2. 계란은 잘 풀어서 새우젓으로 싱거운 듯 간을 해 준다.', '3. 계란에 다진 두부와 나물을 넣고 잘 섞어 놓는다.', '4. 내열용기에 랩을 깔고 ③을 부어준 뒤 다시 랩을 덮고 이쑤시개 등으로 적당히 구멍을 내어준 뒤 전자레인지에 넣고 3~5분간 가열한다.', '5. 도마 위에 용기를 엎어 랩을 제거한 뒤 먹기 좋게 썬다.']",30
모듬해산물채소찜,['찜'],한식,메인요리,매우 쉬움,188.0,9797,4,"['배춧잎 8장', '대구(4cm폭) 4토막']","['콜리플라워 50g', '브로콜리 50g', '청경채 2개', '마 10cm', '홍합 8개', '맛살조개 8개', '모과 1/2개']","['간장 1큰술', '식초 1큰술', '유자청 1큰술']","['1. 배춧잎은 깨끗이 씻고, 콜리플라워와 브로콜리는 납작하게 모양을 살려 썬다.', '2. 청경채는 잎을 떼어내고, 마는 껍질을 벗긴 후 1cm 두께로 썰고, 조개는 해감시킨다.', '3. 모과는 0.3cm 두께로 얄팍하게 썬다.', '4. 준비한 채소와 해물, 모과를 찜기에 겹쳐지지 않도록 놓은 후 김이 오른 찜통에서 익을 때까지 10~15분 정도 찐다.', '5. 분량의 간장, 식초, 유자청을 잘 섞은 후 쪄낸 채소와 곁들여 낸다.']",30
바지락콩나물찜,['찜'],한식,메인요리,매우 쉬움,110.0,39037,2,"['콩나물 30g', '바지락 20g']","['미더덕 15g', '미나리 15g']","['다진마늘 1큰술', '다진파(다진것) 1큰술', '고춧가루 2큰술', '미림 1작은술', '소금 약간', '참기름 약간', '깨소금 약간', '녹말 1큰술']","['1. 바지락은 소금물에 해감시킨다.', '2. 콩나물의 꼬리를 제거한다.', '3. 미나리, 대파는 적당한 길이로 썰어놓는다.', '4. 해감시킨 바지락은 물에 한번 끓인다.', '5. 냄비에 참기름을 두르고 다진 마늘을 볶는다.', '6. 마늘 향이 어느정도 나기 시작하면 콩나물을 넣는다.', '7. 콩나물의 수분이 빠져나오기 시작하면 고춧가루 2큰술, 맛술 1/2큰술, 소금 약간, 참기름, 깨소금, 다진 파, 바지락 물 1/2컵을 넣는다.', '8. 콩나물이 어느정도 익으면 미더덕과 바지락을 넣고 녹말물로 농도를 걸죽하게 만든다.', '9. 한소끔 끓인 후 미나리와 대파를 넣고 마지막에 간을 맞춘다.']",30
밥계란찜,['찜'],한식,메인요리,매우 쉬움,182.0,87943,2,"['찬밥 1공기', '계란 4개', '햄 20g']",['실파 2뿌리'],"['깨소금 약간', '소금 약간']","['1. 계란은 잘 풀어 찬밥을 섞는다.', '2. 가는 파는 송송 썰고 햄은 잘게 썬다.', '3. 뚝배기에 물 2컵을 붓고 소금으로 간을 한 뒤 끓으면 ①을 넣고 계란이 익을 때까지 저어준다.', '4. 다 익으면 위에 실파, 햄, 통깨를 뿌리고 잠깐 뜸을 들인다.']",20
버섯두부선,['찜'],한식,메인요리,매우 쉬움,250.0,12564,4,"['두부 1/2모', '표고버섯 2개', '계란 2개']","['청고추 1/2개', '홍고추 1/2개', '실고추 약간']","['다진파 1큰술', '다진마늘 1작은술', '계란 2개', '소금 1/3작은술', '참기름 1/3작은술', '후춧가루 1/4작은술']","['1. 두부는 으깨 물기를 제거한다.', '2. 표고버섯, 청고추와 홍고추는 곱게 다진다.', '3. 볼에 으깬 두부와 표고버섯, 다진 파, 다진 청고추, 다진 홍고추, 다진 마늘, 계란, 소금, 후춧가루를 넣어 섞는다.', '4. 바닥이 평평하고 깊이 있는 그릇에 ③을 담고 호일로 덮어 중탕으로 20분간 쪄낸다.', '5. 한 김 식으면 그릇에서 꺼내 한 입 크기로 잘라 실고추와 함께 낸다.']",30
소꼬리찜,['찜'],한식,메인요리,매우 쉬움,457.0,35509,2,['소꼬리 5토막'],"['사골 100g', '대추 10개', '밤 5톨']","['마늘 10쪽', '청양고추 2개', '대파 적당량']","['1. 소꼬리는 흐르는 물에 손으로 문질러 가면서 불순물을 제거하고 깨끗이 씻는다.', '2. 씻은 소꼬리는 찬 물을 두 세번정도 바꿔가면서 담가 두어 핏물을 제거한다.', '3. 냄비에 물을 넉넉하게 넣고 사골과 ②의 꼬리뼈를 넣고 3~4시간 푹 고아서 육수를 만든다.', '4. ③의 육수에 꼬리를 넣고 마늘, 대추, 밤을 넣고 다시 30분 정도 끓인다.', '5. ④에 청양고추를 반으로 잘라 넣고 30분 가량 더 끓인다.', '6. 육수가 어느 정도 우러나면 송송 썬 파를 넣고 한소끔 끓여준다.', '7. 먹을 때 소금과 고춧가루로 간을 한다.']",60
쇠고기가지찜,['찜'],한식,메인요리,매우 쉬움,350.0,24439,2,"['다진쇠고기(홍두깨) 200g', '가지 2개']","['당근 1/3개', '청고추 1개', '홍고추 1개']","['간장 1큰술', '설탕 1/2큰술', '다진마늘 1/2작은술', '다진파 1작은술', '깨소금 1작은술', '참기름 1작은술', '후춧가루 약간', '소금 약간']","['1. 다진 쇠고기를 분량의 재료로 만든 쇠고기 양념장에 재워둔다.', '2. 가지는 길게 세로로 잘라 씨 있는 부분을 파낸 후 소금에 살짝 절인다.', '3. 당근, 양파, 청고추, 홍고추는 곱게 다진다.', '4. 프라이팬에 다진 쇠고기를 볶다가 양파와 당근, 고추를 같이 넣고 볶는다.', '5. 속을 파 준비한 가지에 ④를 넣고 김 오른 찜통에 15분간 쪄낸다.']",20
쇠고기청고추찜,['찜'],한식,메인요리,매우 쉬움,155.0,21802,2,"['쇠고기 100g', '청고추 150g']",['밀가루 약간'],"['소금 약간', '후춧가루 약간', '간장 3큰술', '설탕 1작은술', '홍고추 1/2개', '깨소금 약간', '참기름 약간']","['1. 다진 쇠고기에 다진 마늘, 대파, 소금, 후춧가루, 깨소금, 참기름을 넣어 간을 하여 치댄다.', '2. 청고추는 물에 깨끗히 씻고 꼭지를 뗀다.', '3. 고추의 한면에 길게 칼집을 넣어 벌린다. 씨는 털어내지 말고 그대로 두어야 매콤한 맛이 더 잘 난다.', '4. 고추의 씨 있는 부분에 밀가루를 얇게 고루 바른다.', '5. 고추 속에 양념한 고기를 가득 채운다.', '6. 찜통에 김이 충분히 오르면 고기를 넣고 10분동안 찐다. 충분히 김이 오르지 않으면 고추의 색이 죽어 먹음직스러워 보이지 않는다.', '7. 홍고추, 마늘 등을 다져서 간장, 설탕, 깨소금, 참기름 등과 고루 섞어 양념장을 만든다.']",30
알찜,['찜'],한식,메인요리,매우 쉬움,136.0,52876,4,['계란 3개'],"['표고버섯 2장', '새우 4마리', '닭 2조각', '은행 8개']","['멸칫국물 3컵', '소금 1작은술', '청주 1큰술', '간장 1작은술']","['1. 계란은 멸치국물과 소금, 조리용 술, 간장, 청주를 넣어 체에 밭친다.', '2. 표고버섯은 반으로 자르고 새우는 창자를 빼고 머리와 꼬리를 뗀다.', '3. 닭 가슴살도 작게 토막내고 은행은 볶아 껍질을 벗긴다.', '4. 찜기의 1/3 정도만 계란을 부은 다음 닭고기와 표고를 얹고 그 위에 나머지 계란물을 붓는다.', '5. 강한 불에서 2~3분 찌다가 불을 줄여 더 찐다. 계란 표면이 익으면 고명을 얹고 약한 불에서 3분정도 더 찐다.']",30
양배추&호박찜,['찜'],한식,메인요리,매우 쉬움,120.0,43570,4,"['양배추 1/4통', '호박잎 20장']","['된장 2큰술', '고추장 2큰술', '돼지고기(다진것) 100g', '깨소금 1큰술', '다진마늘(다진것) 2큰술', '설탕 2큰술', '다진양파 1큰술', '배즙 1큰술', '참기름 1큰술']",,"['1. 채소는 흐르는 물에 잘 씻어둔다.', '2. 찜통에 김이 오르면 양배추와 호박잎을 넣고 15분 정도 찐다.', '3. 찜통에서 꺼내 접시에 담는다.', '4. 분량의 양념장을 만들어 곁들여 낸다.']",30
콘새우계란찜,['찜'],한식,메인요리,매우 쉬움,197.0,50365,2,"['새우 3마리', '표고버섯 1장', '계란 2개', '스위트콘 1/2캔']","['당근 1/8개', '물 1컵']","['미림 약간', '소금 약간', '후춧가루 약간', '국간장 약간']","['1. 새우는 손질을 하여 끓는물에 살짝 데쳐 놓는다.', '2. 표고버섯, 당근은 스위트콘 크기로 잘라 놓는다.', '3. 스위트콘은 체에 받쳐 물기를 빼 놓는다.', '4. 볼에 계란, 미림, 물, 국간장, 소금을 섞어 놓은 후 고운 체에 한번 걸러 놓는다.', '5. ④에 위의 재료를 적당량 넣은 후 한 김 오른 찜통에 넣고, 약 15분 정도 찜을 한다.']",30
티포크쌈,['찜'],한식,메인요리,매우 쉬움,340.0,19101,2,"['돼지고기 600g', '된장 2와1/2큰술', '김치 1포기']","['녹차 1작은술', '마늘 1작은술']",['새우젓 조금'],"['1. 물 10컵에 녹차를 풀어 녹차물을 우려준다.', '2. 돼지고기 덩어리에 다진 마늘을 고루 발라준다.', '3. 우러난 녹차물에 된장 2와 1/2 큰술을 고운 체에 걸러 풀어준다.', '4. 된장육수가 팔팔 끓으면 덩어리고기를 넣어 30~40분간 끓여준다.', '5. 불을 줄이고 고기에 맛깔스러운 색이 베이도록 20분 가량 졸여준다.', '6. 다 익은 고기를 꺼내어 식혀준 후 1cm 두께로 잘라 김치나 새우젓과 곁들여 먹는다.']",60
편육파채무침,['찜'],한식,메인요리,쉬움,175.0,31714,4,"['돼지고기(편육용) 800g', '파 4뿌리']","['양파 1/2개', '깻잎 10장', '밤 약간', '수삼잔뿌리 약간']","['된장 1큰술', '생강 1쪽', '마늘 1쪽', '대추 약간', '고춧가루 1큰술', '참기름 2큰술', '간장 1큰술', '설탕 약간', '깨소금 약간', '후춧가루 약간']","['1. 물에 된장을 풀고 대파 흰부분, 수삼 잔뿌리, 생강, 마늘, 돼지고기의 기름 부분이 바닥을 향하도록 넣고 1시간 정도 푹 삶아 준다.', '2. 대파, 깻잎, 밤, 대추, 양파를 곱게 채 썰어 양념장에 버무린다.', '3. 돼지고기를 먹기 좋은 크기로 자른 다음 접시에 둘러 담고 가운데 파무침을 담는다.']",60
갖은나물,"['나물', '생채', '샐러드']",한식,반찬,매우 쉬움,120.0,101465,2,"['고사리 150g', '도라지 150g', '시금치 150g', '숙주 150g', '참나물 100g']","['간장 1큰술', '다진파 1큰술', '다진마늘 1/2큰술', '참기름 1큰술', '깨소금 1/2큰술', '후춧가루 약간']","['소금 1큰술', '다진파 1큰술', '다진마늘 1/2큰술', '참기름 약간', '깨소금 약간']","['1. 고사리는 단단한 줄기를 떼어낸다.', '2. 도라지는 연한 소금물에 담가 물기를 짜고 찢는다.', '3. 참나물, 시금치는 끓는 소금물에 숙주는 끓는물에 데친 뒤 찬물에 헹구어 물기를 뺀다.', '4. 식용유를 두른 프라이팬에 고사리, 도라지를 각각 볶다가 분량의 부재료를 넣어 볶는다.', '5. 참나물, 시금치, 숙주는 각각 분량의 양념에 무친다.']",30
골뱅이냉채,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,214.0,46321,2,['골뱅이 1통'],"['대파 2대', '양파 1/2개', '오이 1/2개', '깻잎 6장']","['간장 2큰술', '식초 1큰술', '설탕 1작은술', '고춧기름 1작은술', '참기름 1작은술', '레몬즙 1작은술', '후춧가루 약간', '통깨 2작은술']","['1. 골뱅이는 끓는물에 살짝 데친다.', '2. 대파, 깻잎, 양파, 오이는 체쳐서 찬물에 담가 놓는다.', '3. 볼에 간장, 식초, 설탕, 고춧기름, 참기름, 레몬즙, 후춧가루, 통깨를 넣고 섞어서 소스를 만든다.', '4. 먹기 직전에 소스에 버무려 상에 내 놓는다. 채소는 먹기 직전에 무쳐서 숨이 죽지 않게 한다.']",30
골뱅이무침,"['나물', '생채', '샐러드']",한식,메인요리,매우 쉬움,226.0,335890,2,"['골뱅이통조림 200g', '오이 50g', '양파 50g']","['대파 30g', '당근 30g', '샐러리 ½대', '소면 100g']","['고추장 3큰술', '고춧가루 3큰술', '식초 3큰술', '진간장 1큰술', '설탕 1과½큰술', '깨소금 1큰술', '참기름 1큰술', '다진마늘 2큰술']","['1. 골뱅이는 체에 밭쳐 물기를 뺀 다음 먹기 좋게 반으로 썬다.', '2. 오이는 두께 0.5cm 통으로 썬다.', '3. 대파와 당근은 두께 0.2cm, 가로x세로 0.2cm X 4cm 로 썬다.', '4. 양파는 두께 0.5cm로 채썬다.', '5. 샐러리는 두께 0.2cm 통으로 썬다.', '6. 양념 재료를 섞어둔다.', '7. 소면을 끓는 물에 삶아 낸 후 찬물에 식혀서 골뱅이, 오이, 파, 당근, 양파와 함께 양념에 버무린다.', '8. 접시에 샐러리를 돌려 담고 ⑧을 놓는다.']",30
