메뉴 이름,방법 분류,국가 분류,테마 분류,난이도 분류,칼로리,조회수,분량,주재료 이름,부재료 이름,양념,레시피,조리시간
꽃게장무침,"['밑반찬', '김치']",한식,반찬,보통,135,85462,4,['꽃게 2마리'],"['홍고추 1개', '청고추 1개']","['고춧가루 4큰술', '간장 5큰술', '양파 1/2개', '설탕 1큰술', '마늘 1큰술', '대파 1뿌리', '소금 약간', '통깨 약간', '생강즙 1큰술']","['1. 청고추와 홍고추는 어슷썰어 씨를 털어 놓는다.', '2. 게는 살아있는 암놈으로 골라 배쪽이 아래로 가게 잡고 가위로 발을 모두 잘라 낸다.', '3. 게를 물에 넣고 솔로 문질러 가며 깨끗이 씻어 물기를 뺀다.', '4. 물기가 빠지면 꽃게의 배쪽을 위로 가게 하고 삼각형의 껍데기를 뗀다.', '5. 등딱지에 붙어있는 모래주머니는 손가락으로 조심스럽게 떼어낸다.', '6. 게의 옆에 붙은 빗살무늬의 게털을 떼어낸다. 손질된 꽃게는 먹기좋게 토막낸다.', '7. 토막낸 꽃게에 준비한 양념장을 골고루 잘 버무린다. 이때 청고추와 홍고추를 넣고 게 살이 빠지지 않도록 살살 버무린다.']",45
꽈리고추마른새우볶음,"['밑반찬', '김치']",한식,반찬,보통,123,51881,4,"['꽈리고추 50g', '마른새우 100g']","['간장 2~3큰술', '참기름 약간', '설탕 1/2작은술']",,"['1. 기름 두른 프라이팬에 간장 1큰술을 넣어 마른 새우와 함께 바삭하게 볶는다.', '2. 꽈리고추는 꼭지를 떼어내고 물기를 제거한 후 바늘로 끝부분을 찔러 공기구멍을 내준다.', '3. 기름 두른 프라이팬에 간장 1큰술을 넣어 물기 없이 볶아준다.', '4. ③에 볶아둔 새우를 넣고 섞어 설탕과 참기름으로 마무리한다.']",47
나박김치,"['밑반찬', '김치']",한식,반찬,보통,45,110046,4,"['배추 1/2포기', '미나리 30g', '홍고추 2개']","['무 1개', '대파 2뿌리', '물 20컵']","['생강 1/2쪽', '마늘 5쪽', '소금 1컵', '고춧가루 1/2컵']","['1. 무는 나박썰기하고 배추는 속대만 골라 무와 같은 크기로 썰고 따로 소금에 절인다. 30분 정도 절인 뒤 한 번 뒤집어 준다.', '2. 미나리는 씻어 3cm 길이로 자르고 홍고추는 반으로 갈라 씨를 털고 채썬다.', '3. 굵은 파, 생강, 마늘도 곱게 채썬다.', '4. 큰 그릇에 물 20컵을 붓고 고춧가루 1/3컵을 거즈에 싸서 물에 담가 흔들어 고춧가루 물을 만든 뒤 소금간을 한다.', '5. 절여진 배추와 무에 채썬 파, 마늘, 생강, 홍고추, 미나리를 섞어 고루 버무린다.', '6. 잘 버무려진 나박김치를 항아리에 먼저 담고 삼삼하게 간을 한 김칫국을 부어 숙성시킨다.']",56
달래장김치,"['밑반찬', '김치']",한식,반찬,보통,65,33678,4,['달래 500g'],['통깨 약간'],"['마늘 1/2쪽', '생강 1쪽', '고춧가루 1/3컵', '진간장 3큰술', '설탕 약간']","['1. 달래는 뿌리부분을 자르지 말고 깨끗이 다듬어 흐르는 물에서 가볍게 씻은 후 소쿠리에 건져 물기를 없앤 다음 5cm 길이로 썰어 놓는다.', '2. 마늘, 생강은 곱게 다져 준비한다.', '3. 고춧가루는 미지근한 물에 설탕을 조금 넣고 개어 놓는다.', '4. 개어놓은 고춧가루와 다진 마늘, 생강을 분량의 진간장에 조금 넣고 ①의 달래를 가볍게 버무려 통깨를 뿌린 후 그릇에 담아낸다.']",36
돌나물김치,"['밑반찬', '김치']",한식,반찬,보통,75,26486,2,['돌나물 400g'],"['실파 1개', '오이 1개', '물 6컵', '밀가루 2큰술']","['마늘 2쪽', '생강 1/2쪽', '고춧가루 3큰술', '소금 3큰술']","['1. 돌나물은 찬물에 흔들어 잘 씻어 놓는다.', '2. 오이는 반갈라 어슷하게 썰고 파도 손질하여 흰 부분만 3cm 정도로 채를 썬다.', '3. 생강과 마늘은 가늘게 채썬다.', '4. 분량의 물에 밀가루를 풀어 끓인 후 소금으로 간하여 식힌다.', '5. 물에 고춧가루를 풀어 면보에 짜내려 고춧물을 만든다.', '6. 돌나물과 모든 재료를 한데 섞어 항아리에 차곡차곡 담은후 ⑤를 부어 익힌다.']",49
동치미,"['밑반찬', '김치']",한식,반찬,어려움,35,54219,4,"['무 10개', '고추(삭힌것) 20개', '갓 1/2단']","['실파 1/2단', '대파 5개', '배주머니 5개', '물 10컵']","['소금 3컵', '마늘 5쪽']","['1. 무는 적당히 작은 것으로 골라 수세미로 가볍게 문질러 씻어 잔털을 정리한다.', '2. 넓은 그릇에 소금을 깔고 무를 그 위에 굴려 항아리에 담아 하룻밤 재운다.', '3. 갓과 살파는 소금에 절여 헹구어 믈기를 뺀 후 실파는 3뿌리씩 갓은 1뿌리씩 묶는다.', '4. 손질한 청고추는 항아리에 차곡차곡 담아 짭짤하게 소금물을 만들어 붓고 한달 정도 그늘에 두어 삭힌다.', '5. 마늘과 생강은 얄팍하게 저며썬다.', '6. 배는 씻어 껍질을 벗기지 말고 반으로 자른다. 깨끗한 주머니에 저며 썬 마늘과 생강, 굵은 파뿌리를 넣고 배를 넣어 잘 아물린다.', '7. 굵은 소금 1컵에 물 18컵을 넣어 섞어서 체에 밭쳐 붓고 짭짤한 소금물을 만든다.', '8. 항아리에 절인 무와 실파, 갓 등을 번갈아 차곡차곡 담고 중간에 배주머니를 끼워 넣는다.', '9. 납작한 돌로 동치미 무가 뜨지 않도록 눌러 놓고 체에 밭친 소금물을 가만히 부어 익힌다.']",65
동치미,"['밑반찬', '김치']",한식,반찬,보통,28,52971,4,"['무 10개', '실파 1/2단']","['고추(삭힌것) 5개', '마늘 2개', '생강 2개', '절인 파 2뿌리']","['소금(무절임) 3컵', '소금(소금물) 3컵', '물 20컵']","['1. 무는 너무 크지 않고 무청이 싱싱하게 달린 연한 것으로 골라 깨끗이 씻어 소금을 뿌려 절인 후 물에 헹구어 체에 밭쳐둔다.', '2. 실파도 깨끗이 다듬어 씻어서 건져놓는다.', '3. 마늘과 생강은 얇게 저며 가제에 싸서 묶어놓는다.', '4. 삭힌 고추와 절인 파는 깨끗이 씻어 물기를 빼고 실파는 5~6 뿌리씩 합쳐서 묶어놓는다.', '5. 항아리에 ③을 넣고 절인 무와 삭힌 고추를 번갈아 가면서 한 켜씩 담은 후 무거운 돌로 꾹 누르고 분량의 소금물을 부어 숙성시킨다.']",52
두릅김치,"['밑반찬', '김치']",한식,반찬,보통,64,14815,4,['두릅 20줄기'],"['고춧가루 2큰술', '다진마늘 1/2작은술', '매실청 1큰술', '쌀밥 1큰술', '물 1컵', '꽃소금 1작은술']","['[배합초] 식초 3큰술', '매실청 1큰술', '청주 1큰술', '소금 1/3작은술']","['1. 두릅은 깨끗이 씻어 끓는 소금물에 데친 후 찬물에 담가 쓴맛을 뺀다.', '2. 분량의 고춧가루, 다진 마늘, 매실청, 소금을 잘 섞어 준다.', '3. 분량의 물에 쌀밥을 넣고 끓여 죽을 만든다.', '4. ③에 ②를 넣고 고루 잘 섞어 준다.', '5. 두릅의 물기를 제거한 후 ④의 양념에 고루 버무려 하루 동안 숙성시킨 후 먹는다.']",53
두부장아찌,"['밑반찬', '김치']",한식,반찬,보통,124,42664,2,['두부 1모'],"['통생강 1개', '마른고추 1개', '식용유 1큰술']","['간장 1컵', '식초 1큰술', '통후추 5알', '소금 2작은술']","['1. 두부를 2cm 두께로 썬 후 소금을 뿌려두었다가 물기를 제거한다.', '2. 프라이팬에 기름을 두르고 달구어지면 두부를 노릇하게 지진다.', '3. 지진 두부를 2cm x 2cm 크기로 썰어서 깊은 그릇에 담아둔다.', '4. 마른 고추는 씨를 빼고 4~5쪽으로 나누고 생강도 편으로 얇게 저며서 간장, 식초, 통후추와 섞어서 ③의 두부에 끼얹는다.', '5. 1일 후 간장만 따라내어 냄비에 붓고 끓여서 뜨거울 때 다시 두부에 붓는다.']",44
명란젓,"['밑반찬', '김치']",한식,반찬,보통,25,55106,2,['명란젓 600g'],"['고춧가루(고운것) 3큰술', '참기름 2큰술', '소금 5큰술']",,"['1. 명란은 싱싱하고 알이 터지지 않은 것을 고른다.', '2. 명란을 소금물에 담가 살살 헹군 뒤 체반에 놓아 물기를 뺀다.', '3. 고운 고춧가루, 참기름, 소금을 섞어서 명란에 버무린다.', '4. 그릇에 ③을 차곡차곡 담은 뒤 그 위에 소금을 두껍게 뿌린 다음 살짝 눌러 놓았다가 며칠 뒤 꺼내 먹는다.']",42
배추밤김치,"['밑반찬', '김치']",한식,반찬,보통,75,36445,4,"['배추 1포기', '실파 1/2단']","['밤 2컵', '갓 1/2단', '미나리 1/3단', '배 1/2개']","['고추가루 1컵', '액체육젓 1/2컵', '마늘(다진 것) 1큰술', '생강(다진 것) 1작은술', '설탕 1큰술', '소금 약간', '통깨 약간', '[절임용 소금물] 소금 2컵', '물 10컵']","['1. 배추는 속이 찬 것을 골라 2등분 또는 4등분하여 소금물에 절였다가 깨끗이 씻어 큼직하게 썰어놓는다.', '2. 밤은 껍질을 벗겨 편썰어 준비하고 갓, 미나리, 실파는 4~5㎝길이로 썰며 배는 납작하게 썰어놓는다.', '3. 고춧가루에 물을 2큰술 넣고 섞어 불려서 액체육젓, 다진 마늘, 다진 생강, 설탕, 통깨를 섞어 고추양념을 만들어놓는다.', '4. 고추양념에 배추, 밤, 갓, 미나리, 실파, 배를 넣고 소금으로 간을 해 고루 버무려낸다.']",50
백김치,"['밑반찬', '김치']",한식,반찬,보통,50,81208,4,['배추 5포기'],"['무 2개', '밤 10개', '배 3개', '대추 10개', '대파 2뿌리', '미나리 1/2단']","['다진마늘 4큰술', '석이버섯 약간', '실고추 5g', '잣 2큰술', '[절임용소금물] 소금 3컵', '물 12컵', '말린표고버섯 2개', '통생강 1개', '[국물용 소금물] 소금 6큰술', '물 30컵']","['1. 배추는 2~4등분하여 소금물에 절인 후 물로 헹구어 물기를 뺀다.', '2. 무는 다듬어 0.3cm 굵기로 채썬다. 밤과 배는 손질하여 가늘게 채썰고 대추는 잘 닦아 씨를 뺀 후 채썬다.', '3. 표고버섯은 물에 불린 후 기둥을 떼고 채썬다. 생강은 손질하여 채썰고 미나리는 3cm로 자르고 대파는 흰 부분만 3cm 길이로 잘라 채썬다.', '4. 무, 밤, 미나리, 대파와 다진 마늘, 생강을 섞고 실고추를 넣어 버무린 후 대추, 표고버섯, 잣, 채썬 석이버섯을 넣고 소금으로 간한다.', '5. 절인 배추에 준비한 소를 배춧잎 사이 사이에 넣고 겉에 있는 큰 잎으로 흐트러지지 않게 잘 싸서 항아리에 눌러 담는다.', '6. 껍질을 벗긴 배 2개를 강판에 갈아 즙을 낸 뒤 소금물과 함께 섞어 항아리에 붓는다.']",55
부추김치,"['밑반찬', '김치']",한식,반찬,보통,50,117404,4,['부추 4단'],['홍고추 3개'],"['다진마늘 3큰술', '생강 1/2쪽', '멸치젓 1/2컵', '고춧가루 1/2컵', '설탕 1큰술', '소금 약간']","['1. 부추는 잎이 짧고 통통한 것으로 골라 가지런히 다듬어 흐르는 물에 씻은 후, 물기를 빼고 반으로 자른다.', '2. 멸치젓에 1/2컵의 물을 부어 끓인 후 고운체에 걸러 맑은 젓국을 만든다.', '3. 마늘과 생강은 곱게 다지고 홍고추는 가늘게 채썬다.', '4. 부추를 그릇에 펴 담고, 멸치젓을 고루 뿌려 절인다.', '5. 부추가 절여지면 멸치젓국을 따라내고, 고춧가루와 마늘, 생강, 홍고추, 설탕을 섞어 양념을 만들어 부추를 버무린다.', '6. 부족한 간은 소금으로 한 후 완성한다.']",40
어리굴젓,"['밑반찬', '김치']",한식,반찬,보통,50,39475,4,['굴 400g'],"['무 1/2개', '배 1/2개', '밤 3개']","['고춧가루 1/2컵', '파 1뿌리', '마늘 6쪽', '소금 4큰술', '생강 2쪽']","['1. 굴은 알이 작고 싱싱한 것으로 골라서 소금물에 살살 흔들어 씻은 후 소쿠리에 밭쳐 물기를 빼놓는다.', '2. 무와 배는 껍질을 벗겨 1.5cm 크기로 나박썰기하고 밤, 마늘, 생강, 파는 곱게 채썬다.', '3. 무와 배에 먼저 고춧가루 2큰술을 넣고 버무려 고루 색을 들인다.', '4. 개어놓은 고춧가루에 굴을 넣고 살살 버무린 다음 무와 배를 넣어 함께 섞는다.', '5. 채썬 재료를 넣고 소금으로 간한 후 항아리에 담아 2~3일 후에 먹는다.']",44
얼갈이열무물김치,"['밑반찬', '김치']",한식,반찬,어려움,65,72695,4,"['열무 250g', '얼갈이배추 250g']","['청고추 25g', '홍고추 25g', '쪽파 15g', '양파 70g', '미나리 70g']","['굵은소금 10g', '물 7컵', '꽃소금 20~25g', '설탕 15g', '물(밀가루풀용) 1컵', '밀가루 2큰술', '마늘 30g', '생강 10g', '정종 1큰술']","['1. 얼갈이와 열무는 씻은 후 5cm 정도로 잘라 소금에 20~30분 정도 절여둔다.', '2. 미나리, 쪽파는 5cm 정도로 자른다.', '3. 홍고추, 청고추는 2.5cm 정도로 자른다.', '4. 쌀가루는 물 1컵에 밀가루 2큰술 정도의 농도로 죽을 쑤어놓는다.', '5. 생수나 끓여 식힌 물에 소금을 넣어 소금물(물50 :소금1)을 만든 다음 삶아서 채에 내려놓은 감자와 찹쌀가루 죽을 넣는다.', '6. 마늘, 생강, 무우, 양파, 배는 믹서해서 소창에 짜 소금물에 넣어준다.', '7. 나머지 양념을 넣는다.', '8. 절여 놓은 얼갈이에 소금물을 부어준다.', '9. 정종을 마지막에 넣어준다.']",63
열무김치,"['밑반찬', '김치']",한식,반찬,보통,45,91392,4,"['열무 2단', '풋배추 1단']","['실파 50g', '청고추 3개', '홍고추 13개', '물 18컵', '밀가루 2큰술']","['소금 1/2컵', '마늘 10쪽', '생강 1쪽']","['1. 열무와 무는 흐르는 물에 깨끗이 씻어 다듬어 4~5cm 길이로 썬다. 큰 그릇에 열무와 풋배추를 섞이지 않게 넣고 소금을 뿌려 1시간 정도 절인다.', '2. 실파는 4cm 길이로 썰고 청고추는 어슷썰고 씨를 대충 털어낸다.', '3. 냄비에 10컵의 물을 붓고 밀가루 2큰술을 넣어 중불에서 풀을 쑤어 식혀 놓는다.', '4. 홍고추는 물에 불려 반으로 가르거나 어슷썰어 씨를 털어내고 분마기에 조금씩 넣어 방망이로 곱게 갈아 놓는다.', '5. 식힌 밀가루풀에 분량의 물을 붓고 곱게 간 홍고추, 다진 마늘, 생강, 청고추를 넣는다.', '6. 국물을 준비한 뒤 싱거우면 소금으로 간한다.', '7. 절여진 열무와 배추는 깨끗이 씻어 물기를 뺀 후 김칫국에 적셔 단지에 담는다. 차곡차곡 담은 단지에 남아 있는 국물을 충분하게 붓는다.']",59
오이소박이,"['밑반찬', '김치']",한식,반찬,보통,85,149583,4,"['오이 10개', '부추 1단']","['다진파 1큰술', '다진마늘 1큰술', '다진생강 1작은술']","['소금 약간', '고춧가루 1컵', '설탕 1큰술', '진간장 3큰술', '청주 1큰술', '[절임용 소금물] 소금 2컵', '물 10컵']","['1. 오이는 굵은 소금으로 문질러 씻어 5cm 길이로 잘라 십자로 칼집을 넣는다.', '2. 오이가 잠길 정도의 물에 굵은 소금을 풀어 소금물을 만들어 오이를 담가 30분 정도 절인 후 마른 행주로 물기를 닦는다.', '3. 부추는 씻어 가지런히 잡고 잘게 송송 썬다.', '4. 넓은 그릇에 분량의 고춧가루를 담고 물을 조금씩 부어가며 되직하게 개어 다진 파, 다진 마늘, 다진 생강과 송송 썬 부추를 넣고 소금과 설탕으로 간을 맞춰 버무린다.', '5. 오이의 칼집이 벌어지게 한 후 ④의 소를 빠지지 않게 채운다.', '6. 준비해둔 통에 오이를 길이대로 눕혀 차곡차곡 담고 남은 소를 위에 얹는다.']",51
오이지장아찌무침,"['밑반찬', '김치']",한식,반찬,보통,30,81063,4,['오이 10개'],"['홍고추 1개', '실파 1뿌리', '깨소금 1작은술']","['고추장 1/2컵', '다진마늘 1큰술', '고춧가루 1/2큰술', '참기름 1작은술', '설탕 1작은술']","['1. 오이는 잘고 연한 재래종으로 준비하여 씻은 후, 물기를 뺀다.', '2. 소금물을 팔팔 끓여 놓은 후 식혀 놓는다. 오이에 식힌 소금물을 붓고 무거운 돌로 눌러 놓는다.', '3. 1주일 정도 지나면 소금물을 따라내어 다시 한 번 끓여 식힌 다음 오이에 붓는다.', '4. 2주일 정도 지나면 절여진 오이를 꺼내어 소쿠리에 넣어 말린 다음 고추장에 버무려 항아리에 담아 5~6개월 정도 익힌다.', '5. 먹을 때마다 조금씩 꺼내어 고추장을 훑어내고 송송 썬다.', '6. 다진 마늘과 고춧가루, 참기름, 설탕을 함께 섞어 양념을 만든다.', '7. 붉은 고추와 실파를 잘게 썬다.', '8. ⑦에 양념을 섞은 후 오이에 버무려 상에 놓는다.']",50
오징어섞박지,"['밑반찬', '김치']",한식,반찬,보통,30,22375,2,['갑오징어 300g'],"['무 100g', '고추 50g', '찹쌀풀 20g']","['마늘 20g', '생강 13g', '멸치액젓 20g', '고춧가루 10g', '실파 30g', '정종 15g', '소금 25~30g', '설탕 10g']","['1. 갑오징어는 내장, 껍질을 제거해 소금 간하여 2~3 시간 절이고 하루에서 이틀 정도 그늘에서 말린 다음 넓이 1.5cm, 길이 5cm로 자른다.', '2. 무도 갑오징어와 같은 크기로 잘라 소금에 절인다.', '3. 고추는 작은 것으로 골라 꼭지째 소금에 절인다.', '4. 마늘, 생강은 다지고, 실파는 4cm로 자른다. 고춧가루는 소금물에 개어 놓는다.', '5. 꾸덕해진 갑오징어와 무, 고추를 넣고 액젓, 마늘, 생강, 고춧가루를 넣고 고루 무친 다음 항아리에 파를 올리고 버무린 김치 올리고 반복적으로 담는다.']",44
우엉조림,"['밑반찬', '김치']",한식,반찬,보통,75,89204,4,['우엉 400g'],"['청정원올리고당 2큰술', '간장 4큰술', '깨소금 1큰술', '소금 약간', '물 1작은술']",,"['1. 우엉은 칼등으로 가볍게 긁어 껍질을 벗겨 물에 헹군다.', '2. 긴 것은 4cm 길이로 썰어 굵게 채썬다.', '3. 끓는 물에 소금을 넣고 살짝 데쳐 검은 물이 빠지게 한다.', '4. 데친 우엉을 냄비에 담고 간장 4큰술과 물 1작은술을 붓고 센불에 끓이다가 끓기 시작하면 약불로 줄여서 은근히 조린다.', '5. 반쯤 조려졌을 때 물엿을 넣고 자작하게 볶아낸다.', '5. 반쯤 조려졌을 때 물엿을 넣고 자작할 때까지 조려낸다.']",52
채소간장장아찌,"['밑반찬', '김치']",한식,반찬,어려움,64,35633,4,"['오이 2개', '양파 2개', '홍고추 2개', '청양고추 2개']","['간장 2/3컵', '설탕 1과1/2컵', '식초 2컵', '물 1컵']",,"['1. 오이는 굵은 소금으로 오돌오돌한 부위를 손질한 후 링 모양대로 썬다.', '2. 양파는 가로4등분 세로3등분으로 썬다.', '3. 홍고추, 청양고추는 2cm 두께 링 모양대로 썰어 씨를 털어낸다.', '4. 분량의 양념을 만들어 살짝 끓인다.', '5. 병에 손질한 오이, 양파, 고추를 담아 살짝 끓인 간장 양념을 붓는다.', '6. 하루 정도 지나서 꺼내 먹도록 한다.']",64
총각김치,"['밑반찬', '김치']",한식,반찬,보통,32,80178,4,['총각무 1단'],"['대파 2뿌리', '찹쌀가루 3큰술', '물 1컵']","['소금 2컵', '고추가루 1/2컵', '다진마늘 5큰술', '다진생강 2큰술', '멸치젓 1/4컵', '새우젓 1/4컵', '설탕 3큰술', '[절임용 소금물] 물 10컵', '소금 2컵']","['1. 총각무는 무청이 파랗고 심이 없는 것으로 골라 잔뿌리는 떼고 무청이 달린 부분은 칼로 다듬어 씻어 건진 후 무가 크면 길게 2등분한다.', '2. 큰 그릇에 총각무를 켜켜이 담아 소금물을 붓고 표면이 덮이도록 소금을 뿌려 3시간 정도 절인다.', '3. 대파는 깨끗이 손질해 어슷썬다.', '4. 물1컵에 찹쌀가루 3큰술을 풀어 거품기로 저어주면서 중간 불에서 찹쌀풀을 쑤어 식힌다.', '5. 멸치젓을 냄비에 담고 센불에서 살이 빠지고 뼈만 남을 때까지 끓여 체에 밭쳐 국물을 거르고, 식힌 찹쌀풀에 고춧가루, 대파, 다진 마늘, 다진 생강, 멸치젓국, 새우젓, 설탕을 고루 넣어 양념을 만든다.', '6. 절여둔 총각무에 양념을 넣어 잘 버무린 다음 2-3개씩 모아 하나로 묶어서 항아리에 차곡차곡 담아 익힌다.']",46
통배추김치,"['밑반찬', '김치']",한식,반찬,어려움,50,135532,4,"['배추 10포기', '무 1개', '갓 1/2단', '미나리 1단', '멸치젓 2컵']","['물 1컵', '실파 1단', '배 1개', '대파 5뿌리']","['소금 5컵', '고춧가루 5컵', '마늘 10쪽', '생강 3쪽', '설탕 1큰술', '깨소금 1/2컵', '소금 3컵']","['1. 배추는 고를 때 속이 꽉차고 묵직한 것으로 골라 큰 것은 4등분 작은 것은 2등분한다. 농도가 15% 정도 된 소금물에 담갔다가 꺼낸 후 굵은소금을 뿌려 5~6시간동안 절여둔다.', '2. 잘 절여진 배추는 여러 개의 양푼에 물을 담아 순서대로 흔들어 씻은 후 물기를 빼고 심을 잘라 정리한다.', '3. 미지근한 물 1컵에 고춧가루를 넣고 잘 섞어 불린다.', '4. 무, 배는 4~5cm 길이로 채썰고 미나리, 실파는 4cm 길이로 썬다. 굵은 파는 어슷썬다.', '5. 깨끗이 씻어 껍질을 벗긴 마늘과 생강을 절구에 조금씩 넣어 가면서 곱게 찧는다.', '6. 불린 고춧가루에 갖은 양념을 넣어 버무리고 준비한 채소를 전부 넣어 속을 만든다.', '7. 물기를 잘 뺀 배추 사이사이에 섞은 소가 한쪽으로 몰리지 않게 골고루 넣고 겉 잎으로 아물린다.', '8. 물기를 말끔히 닦은 항아리에 아물린 배추 속이 위로 오게하고 꼭꼭 누른 후 양념국물을 붓는다.']",73
파김치,"['밑반찬', '김치']",한식,반찬,보통,40,76276,4,['실파 2단'],['소금 약간'],"['까나리액젓 1컵', '다진마늘 1과 1/2작은술', '다진생강 1작은술', '고춧가루 1컵', '설탕 2큰술', '깨소금 2큰술']","['1. 실파는 뿌리를 잘라내고 다듬어 물기를 뺀다.', '2. 넓은 그릇에 실파를 고르게 펴고 까나리액젓을 뿌려 절인다.', '3. 고춧가루에 약간의 물을 부어 불린 후 다진 마늘, 다진 생강, 설탕, 소금, 깨소금을 넣어 고루 섞어 양념장을 만든다.', '4. 절인 실파에 양념장을 넣어 고루 버무린다.', '5. 버무린 실파는 다섯 뿌리씩 모아 잡고 한 데 묶어 항아리에 담는다.']",38
해물김치,"['밑반찬', '김치']",한식,반찬,어려움,95,66905,4,"['배추 3포기', '생태 2마리', '오징어 2마리']","['무 2개', '갓 1/2단', '미나리 1/2단', '실파 1/2단', '물 15컵']","['액체육젓 1/2컵', '고춧가루 2.5컵', '소금 3컵', '설탕 4큰술', '마늘 2/3컵', '생강 1/2컵']","['1. 배추는 2등분하여 20％의 소금물에 담가 절이고, 무도 3~4등분하여 같이 절인다.', '2. ①의 배추, 무가 충분히 절여지면 여러 번 헹구어 물기를 뺀 후 배추는 4cm 크기로 썰고, 무도 같은 크기로 도톰하게 썰며 갓, 미나리, 실파도 4cm 길이로 썬다.', '3. 생태는 아가미, 내장, 지느러미를 제거하고 깨끗이 썰어 3cm 토막으로 썰고 오징어도 내장을 뺀 후 3cm 크기로 먹기좋게 썬다.', '4. 분량의 고춧가루에 설탕, 마늘, 생강, 액체육젓을 넣어 고추양념을 만든 다음 배추와 무를 빨갛게 버무린다.', '5. ④에 갓, 미나리, 실파, 생태, 오징어를 넣어 고루 버무린 다음 소금, 통깨를 넣어 간을 맞춘다.']",60
간장떡볶이,"['도시락', '간식']",한식,메인요리,보통,425,101575,2,['떡볶이떡 300g'],"['청고추 1개씩', '파프리카 1/2개', '표고버섯 3개', '쇠고기 50g', '홍고추']","['육수 1컵', '간장 3큰술', '참기름 약간']","['1. 쇠고기는 4cm 길이로 채썰어 분량의 분량의 양념장을 만들어 양념해 재워둔다.', '2. 청고추, 홍고추, 파프리카는 4cm x 1cm 길이로 채썰어 준비하고 표고버섯은 길이대로 슬라이스 한다.', '3. 단단한 떡볶이 떡은 뜨거운 물에 5~10분간 불린 후 사용한다.', '4. 기름두른 팬에 청고추, 홍고추와 파프리카를 각각 볶아낸 후 양념한 쇠고기를 볶아 접시에 담아낸다.', '5. 분량의 육수와 간장을 넣어 국물이 끓으면 떡과 ④의 채소재료를 넣고 끓여준다.', '6. 간장으로 떡볶이의 간을 맞추어 떡에 양념이 배어들면 참기름으로 마무리해준다.']",52
고구마강정,"['도시락', '간식']",한식,반찬,보통,580,41856,4,"['고구마 2개', '건포도 10g', '호박씨 10g']",['튀김기름 적당량'],['시럽 1/2컵'],"['1. 고구마는 굵게 채로 썰어 찬물에 담가 물기를 뺀다.', '2. 고구마는 140~150℃에서 튀겨낸다.', '3. 호박씨를 팬에 살짝 볶아 굵게 다지거나 반만 갈라 체에 쳐 지저분한 가루를 제거한다.', '4. 시럽을 젓지말고 끓여 만들어 놓고 튀긴 고구마와 건포도, 호박씨를 넣고 나무주걱으로 잘 버무린다.', '5. 틀에 넣어 모양을 잡은 다음 알맞은 크기로 썬다.']",48
딸기찹쌀볼맛탕,"['도시락', '간식']",한식,반찬,어려움,123,25513,4,"['딸기 12개', '찹쌀가루 3컵', '식초 3큰술']","['올리고당 5큰술', '뜨거운물 약간', '호두 약간', '아몬드슬라이스 약간', '물 3컵']",['소금 1/4작은술'],"['1. 딸기는 물 3컵과 식초 3큰술을 넣어 만든 식촛물에 씻어 불순물을 깨끗이 제거한 후 꼭지를 따고 물기를 제거해준다.', '2. 찹쌀가루는 소금으로 간한 뒤 뜨거운 물을 조금씩 넣어가며 익반죽한다.', '3. 찹쌀 반죽을 적당한 크기로 떼어낸 후 완자를 빚어 딸기가 반죽 안으로 들어갈 수 있도록 동그랗게 모양을 만든다.', '4. 딸기에 올리고당을 묻혀 반죽 안에 넣고 튀길 때 반죽이 터지지 않도록 잘 오므려 준다.', '5. 아몬드슬라이스와 호두를 각각 잘게 다져 준비하고, 올리고당도 준비해둔다.', '6. 170℃의 기름에 ④의 딸기찹쌀볼을 튀기는데, 기름에 오래 튀기면 딸기가 빠져 나오므로 주의한다.', '7. 찹쌀볼의 겉면이 노릇해지면 건져내 준비해둔 올리고당을 묻힌다.', '8. ⑦의 찹쌀볼에 다진 아몬드와 다진 호두를 각각 묻혀 낸다.']",66
떡볶이,"['도시락', '간식']",한식,메인요리,보통,225,341173,4,['가래떡 1줄'],"['양파 1개', '대파 1뿌리', '피망 1개', '비엔나소시지 10개', '물 1과1/2컵']","['고추장 3큰술', '간장 1큰술', '설탕 2큰술', '물엿 1큰술']","['1. 가래떡은 단단할 때 어슷썰어 준비한다.', '2. 소시지는 가로, 세로 칼집을 넣어서 준비하고 양파, 피망은 넓적하게 썰고 대파는 어슷썬다.', '3. 물이 끓으면 떡을 넣고 고추장과 양념 재료를 넣어 자작하게 조린다.', '4. ③에 ②의 준비한 야채를 넣고 숨이 죽을 정도로만 조려 상에 낸다.']",48
